-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 01/01/2023 
Location: Latitude  -0.735   Longitude -0.7906 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS50M                   MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX               MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,PS,WS10M,WS10M_MAX,WS50M,WS50M_MAX
2021,1,1,5.17,6.02,0.52,424.74,101.22,115.3,12.48,0.38,1.94,4.41,101.06,4.95,5.25,5.27,5.63
2021,1,2,5.76,6.09,0.58,412.05,111.41,116.86,13.66,0.41,2.15,4.28,101.05,4.8,6.14,5.12,6.66
2021,1,3,6.04,6.25,0.6,411.95,116.7,120.23,14.48,0.44,2.3,4.41,101.02,4.99,6.41,5.38,6.98
2021,1,4,6.23,6.3,0.62,402.77,120.12,122.12,14.89,0.45,-999.0,3.62,101.01,4.03,4.45,4.27,4.74
2021,1,5,5.53,5.91,0.55,415.48,105.88,112.43,12.95,0.37,1.92,4.66,101.0,5.29,6.42,5.73,7.05
2021,1,6,4.07,6.07,0.41,417.9,81.32,116.92,10.59,0.32,1.65,5.06,101.06,5.78,6.93,6.29,7.61
2021,1,7,4.77,6.37,0.48,420.16,94.98,123.88,12.41,0.38,1.96,3.95,101.14,4.42,6.01,4.73,6.55
2021,1,8,5.52,6.25,0.55,418.77,108.2,120.8,13.59,0.41,2.14,4.34,101.15,4.87,5.4,5.22,5.82
2021,1,9,6.3,6.45,0.62,405.56,122.97,125.21,15.65,0.47,2.5,3.81,101.08,4.24,4.88,4.5,5.2
2021,1,10,6.33,6.53,0.63,407.21,123.33,126.45,15.66,0.46,2.44,3.97,100.98,4.42,5.4,4.72,5.8
2021,1,11,6.5,6.61,0.65,410.99,127.34,128.91,16.13,0.48,2.52,4.15,100.98,4.66,5.05,5.0,5.42
2021,1,12,6.2,6.45,0.62,410.12,120.84,125.12,15.25,0.46,2.46,4.27,101.11,4.78,5.22,5.12,5.6
2021,1,13,6.1,6.65,0.61,413.95,120.3,129.55,15.46,0.46,2.4,4.26,101.18,4.81,5.42,5.19,5.88
2021,1,14,5.87,6.6,0.59,417.14,115.93,128.51,14.89,0.45,2.34,3.91,101.12,4.38,5.09,4.67,5.48
2021,1,15,6.5,6.74,0.65,416.13,127.99,131.73,16.34,0.48,2.59,4.28,101.04,4.8,5.51,5.12,5.91
2021,1,16,6.21,6.62,0.62,419.23,121.53,128.21,15.38,0.45,2.34,3.64,100.96,4.04,4.96,4.28,5.3
2021,1,17,5.88,6.09,0.58,416.72,112.48,115.91,13.7,0.4,2.14,3.53,101.0,3.91,4.2,4.13,4.46
2021,1,18,6.23,6.47,0.62,415.02,121.37,125.23,15.13,0.45,2.36,4.3,101.05,4.86,5.38,5.21,5.84
2021,1,19,5.55,6.53,0.55,423.7,109.75,126.95,14.17,0.43,2.27,3.11,101.12,3.44,4.93,3.64,5.28
2021,1,20,6.35,6.55,0.62,408.81,123.86,126.94,15.54,0.45,2.36,3.52,101.07,3.91,4.23,4.16,4.54
2021,1,21,6.24,6.76,0.62,419.6,122.47,131.09,15.59,0.48,2.47,3.68,101.06,4.12,4.3,4.42,4.65
2021,1,22,5.93,6.65,0.59,417.6,116.77,128.79,14.88,0.45,2.34,3.03,101.08,3.35,3.8,3.55,4.05
2021,1,23,5.31,6.58,0.52,420.47,105.5,128.26,13.65,0.43,2.22,2.56,101.09,2.81,3.8,2.95,4.05
2021,1,24,5.48,6.3,0.54,420.66,108.32,122.22,13.58,0.42,2.2,2.52,101.08,2.72,4.22,2.85,4.48
2021,1,25,4.11,6.29,0.41,424.55,82.84,121.87,10.7,0.34,1.75,3.26,101.04,3.59,4.07,3.8,4.32
2021,1,26,2.99,6.32,0.29,421.77,61.09,122.43,8.05,0.26,1.32,2.6,101.09,2.81,3.64,2.95,3.84
2021,1,27,4.67,6.21,0.45,420.42,92.78,120.04,11.68,0.38,1.96,4.24,101.06,4.73,5.5,5.03,5.89
2021,1,28,4.63,6.41,0.45,421.96,92.66,124.47,11.94,0.38,2.03,3.98,101.04,4.42,5.02,4.71,5.36
